video_id,video_title,video_description,published_at,duration,view_count,video_like_count,comment_count,channel_id,channel_title,channel_subscriber_count,channel_video_count,channel_country,greenland_only_reason
N6c5wsCXj-I,324 Greenland,"For more details:
http://view.paradym.com/4333290/prt/30541

324 Greenland
Ontonagon, MI 49953
$32,900, 4 bed, 2.00 bath, 1,920 SF, MLS# 1113682

A HOME TO SATISFY YOUR NEED FOR SPACE, A BIT OF HISTORY AND A GREAT LOCATION.....easy walking distance to the downtown shops and restaurants in The Village.....the historic Ontonagon Theater for the Performing Arts......and the beach and recreation area on Lake Superior as well.....nicely remodeled kitchen, appealing open floor plan, nice room sizes, the main floor family room could also be a master bedroom, large upstairs bedrooms...the upstairs needs a little work..........a corner jetted tub is a highlight in the upstairs bathroom...this room also needs some finishing work....... the home can be a great value ......the basement is high and dry...


Presented By:
Karen Lahti, RE/MAX Douglass Real Estate
906-482-1000 x 27
View My Inventory:
http://my.paradym.com/inventory.asp?u=89421",2019-04-20T09:06:03Z,57,3,,0,UC_WYbRXrT6eRGW4uQgoohHg,RE/MAX Douglass Real Estate,10,440,,title_only_greenland_generic_or_numbers
FkIf561Q2f4,Greenland,"Provided to YouTube by Daredo

Greenland · Bondaleira

New Life

℗ TRAUM TECHNO GERMANY

Released on: 2019-04-22

Composer: János András Márton
Music  Publisher: Copyright Control

Auto-generated by YouTube.",2019-04-21T11:15:46Z,362,426,,0,UCMJ1522T6tGnVdwrGR6mTLw,Bondaleira - Topic,142,31,,title_only_greenland_generic_or_numbers
1bg6NuTsf5g,Greenland,,2019-04-22T05:19:18Z,61,61,,0,UCf4AaCSYnX748ZBHmqFrzpg,LearningToDive Official,33,15,,title_only_greenland_generic_or_numbers
t-6lEE03BA4,Greenland,"Provided to YouTube by Virgin Music Group

Greenland · Liljaysoicy

Icyworld, Vol. 1

℗ 2019 Rap-A-Lot New Wave/SoSouth

Released on: 2019-04-20

Composer, Writer: Jalen Smith

Auto-generated by YouTube.",2019-04-24T00:40:51Z,101,395,,0,UCvz6EurWJMOhTFc-ymQ6EHQ,Liljaysoicy - Topic,121,66,,title_only_greenland_generic_or_numbers
AKDjf0SZfO4,Greenland Video,,2019-05-01T11:56:02Z,46,6,,0,UCZLVYQhf6f7rpYEEZk6LuWg,Kaknes Landscape Designs,1,73,,title_only_greenland_generic_or_numbers
pS9ulheyi8s,Greenland 2018,Trek au Groenland en fin Septembre 2018. Si vous préférez les photos de paysages à moi qui raconte n'importe quoi à ma gopro: https://flic.kr/s/aHsmtMtbVn,2019-05-08T08:46:29Z,855,106,,0,UCCJVGVBVUUzRvz9fy3L9-rQ,Joseph,6,10,,title_only_greenland_generic_or_numbers
8jwdZ8FIZmA,Greenland,"Provided to YouTube by Kontor New Media GmbH

Greenland · Ice Blue Orchestra

Between Destinations

℗ Larks Tongues Music

Released on: 2012-01-10

Artist: Ice Blue Orchestra
Music  Publisher: Copyright Control
Composer: Winters

Auto-generated by YouTube.",2019-05-13T16:40:13Z,241,60,,0,UCQG9EXV2WHKClA9749vwTew,Ice Blue Orchestra - Topic,1,35,,title_only_greenland_generic_or_numbers
OQP4SFvGfjg,Greenland,Proximamente La serie de esta ciudad...,2019-05-14T14:01:43Z,70,20,,6,UCnOHHzPb6101xq644O7mTgw,MT GAMES,15,15,,title_only_greenland_generic_or_numbers
3u5Q_V4Bj1M,Greenland,"Provided to YouTube by Fallen Swine Records

Greenland · Mount Forel

Greenland

℗ Fallen Swine Records

Released on: 2019-05-17

Composer: Ross Thompson
Composer: Peter Garner
Composer: Andrew Wakatsuki-Robinson
Composer: Takako Iida
Lyricist: Ross Thompson
Lyricist: Peter Garner
Lyricist: Andrew Wakatsuki-Robinson
Lyricist: Takako Iida

Auto-generated by YouTube.",2019-05-16T10:07:07Z,194,134,,0,UCwp4kN2Xf_KFybg6YAQesKg,Mount Forel - Topic,9,25,,title_only_greenland_generic_or_numbers
swjRiEseARM,Greenland,"Provided to YouTube by Routenote

Greenland · Eila Kany

Armour Lead

℗ Eila Kany

Released on: 2019-04-23

Auto-generated by YouTube.",2019-05-16T10:45:38Z,81,66,,0,UC2hu7VX5KspQCEPXlMrC3_Q,Eila Kany - Topic,0,30,,title_only_greenland_generic_or_numbers
aLGsM1MkuXM,Greenland,"Greenland from the sky - it comes on the way, when you choose a flight from Istanbul, Turkey to Washington DC, USA.",2019-05-16T17:11:33Z,44,2,,0,UCPJGdsYS0THkFy6g3nV6S5w,naitik shah,96,112,IN,title_only_greenland_generic_or_numbers
FgkGEg2i_ME,GreenLand,"If you are looking for Southwest multi Collection by GREENLAND please visit..

https://www.latestbedding.com/collections/new-arrivals/products/greenland-home-fashions-southwest-multi-5-piece-bonus-quilt-set?variant=20350140645474",2019-05-17T06:55:20Z,34,42,,0,UCdUjo0OdKdU06JmG3bQRp4A,Latest Bedding,1200,649,US,title_only_greenland_generic_or_numbers
hYVnadHxn68,B GREENLAND,,2019-05-18T10:58:59Z,161,37,,,UCICmfTQK5UV_mxvRjRrkAuA,AIKO TV,48,21,,title_only_greenland_generic_or_numbers
bI845Pkf7Lc,Greenland 2017,Discover south of Greenland,2019-05-20T23:24:34Z,1378,7,,0,UCyhEd5y7LubvECGeQmCVW2Q,Stephane R,2,6,,title_only_greenland_generic_or_numbers
C-lKysKmG7s,Greenland 2018,Working in Greenland as a tour guide the summer of 2018,2019-05-24T07:06:44Z,150,877,,0,UCEVMdF-61iRbdj7BBA1LCuw,TorikRouah,558,56,,title_only_greenland_generic_or_numbers
iTyop1BegvA,GreenLand,"If you are looking for Denmark multi Collection by GREENLAND please visit..

https://www.latestbedding.com/products/greenland-home-fashions-denmark-multi-3-piece-quilt-set?variant=20350138450018",2019-05-24T09:42:21Z,41,36,,0,UCdUjo0OdKdU06JmG3bQRp4A,Latest Bedding,1200,649,US,title_only_greenland_generic_or_numbers
1XFWwCuyDds,Greenland,"Provided to YouTube by CDBaby

Greenland · Remnose

Greenland

℗ 2019 Remnose

Released on: 2019-05-31

Auto-generated by YouTube.",2019-05-30T20:33:25Z,263,355,,0,UCcA-RwdvUC4v3W5YkLxQqkg,Remnose - Topic,45,31,,title_only_greenland_generic_or_numbers
jjocB8wseQs,greenland,climate change deniers are a pox on society,2019-06-01T01:47:25Z,117,10,,1,UCiMfFnshBhROELOxLvzi6Tw,LeoThePeo,468,3224,US,title_only_greenland_generic_or_numbers
AgSxLDTr2co,Greenland,,2019-06-04T18:17:03Z,180,67,,0,UCw9062-91sDR092TOgKm4vQ,runetek2,1730,64,,title_only_greenland_generic_or_numbers
9LFX72jUrEk,Greenland,Heathrow to Greenland,2019-06-09T23:54:18Z,2964,1,,0,UC3xBAGh_LaytU_-aNmFIVDQ,Neutral Newt,1,18,GB,title_only_greenland_generic_or_numbers
c0K2zVeFOOA,Greenland,Kumbakonam to Mayiladurai Agri Lands...,2019-06-10T08:29:44Z,63,13,,1,UCOFeLOQ7ZhCK2wtXM5w1_7w,OCEAN QUEEN,8,9,,title_only_greenland_generic_or_numbers
5j9AFntGMV8,Greenland 2019-06-16,+ Google Earth,2019-06-17T21:28:48Z,26,86,,1,UC1rJ0v1pBJGsRfUnBShRHSQ,Iban Ameztoy,610,653,,title_only_greenland_date
9jcLMzI-gAo,Greenland,"Provided to YouTube by demajorsTV

Greenland · Indro Hardjodikoro

Feels Free

℗ 2013 demajors

Released on: 2013-05-06

Auto-generated by YouTube.",2019-06-19T12:39:02Z,271,1103,,0,UCtMpIG4vfilQZfhqpDfXTag,Indro Hardjodikoro - Topic,13,68,,title_only_greenland_generic_or_numbers
8TvAMo9VN6Y,GREENLAND,,2019-06-19T20:25:15Z,165,10,,0,UCGBiEasWu1phpVygjCDJkhg,discord Loverp,0,1,,title_only_greenland_generic_or_numbers
ip4qIdZqL4s,Greenland,"Provided to YouTube by CDBaby

Greenland · Remnose

Waiting on the Wind

℗ 2019 Remnose

Released on: 2019-06-14

Auto-generated by YouTube.",2019-06-21T15:56:01Z,263,108,,0,UCcA-RwdvUC4v3W5YkLxQqkg,Remnose - Topic,45,31,,title_only_greenland_generic_or_numbers
-quaL4mpOVs,GreenLand,,2019-06-24T07:07:45Z,7,0,,0,UC6T-z8T7C3cAZo3DN4XU_fw,Christine Joy Dyosa,0,3,,title_only_greenland_generic_or_numbers
S5ITKqDMaK8,Greenland,,2019-06-29T08:15:14Z,52,8,,0,UCf142prkATIpaS63GOE8eFQ,European Pinoy Drivers,78,239,,title_only_greenland_generic_or_numbers
KrWa6OcKimk,Greenland 2018,Just testing openshot. Greenland from last year.,2019-07-05T15:29:30Z,12,23,,0,UCOxw8d_caTOFpbFwKWwVKrw,Louisa Guise,12,85,GB,title_only_greenland_generic_or_numbers
UWKvdlBTn2I,Greenland,Ilulissat Greenland,2019-07-06T23:35:45Z,391,215,,0,UCH98EHIpBYyP9FMyUglvClw,wdoerr95,43,38,,title_only_greenland_generic_or_numbers
bbTSx6Wv5yI,Greenland,"Yamaha AN1X , zdjęcia MaSki.",2019-07-22T09:52:33Z,1717,472,,9,UCDo_38WCLWKJput33FxyiaA,Janusz Kosmowski,119,39,,title_only_greenland_generic_or_numbers
JgnASCdCNyI,Greenland,"Greenland @ TurdaTurism.RO (un test)
www.turdaturism.ro",2019-07-22T10:27:24Z,102,52,,0,UCKf628y-E9411wk9w1Dmv4Q,Alin ROSCA,58,215,RO,title_only_greenland_generic_or_numbers
OciZshpD-aI,GREENLAND,Greenland from Flight AI101 (New Delhi to New York)... Its an amazing experience.,2019-07-25T17:52:41Z,50,91,,3,UCgqWzAd0ffMhsr3G3so9l-g,TravelzBliss,15,8,,title_only_greenland_generic_or_numbers
gJdF8TrDPCo,Greenland,,2019-07-28T10:29:51Z,260,28,,2,UCzN20HpB2GSRv3f4d5ir5UQ,skc tuturu,4,15,,title_only_greenland_generic_or_numbers
H0X-X52VzZk,Greenland 2019,5 Days in Greenland with Chris Bray Photography.,2019-08-01T15:37:43Z,164,5639,,3,UCubmdf0iobyQpIcEn8EmGxQ,Randy Ubillos,116,45,,title_only_greenland_generic_or_numbers
n3wl6GKu67I,Greenland,,2019-08-02T04:30:36Z,34,7,,0,UC70cQoh-kWge0pQq2CEDbdQ,Fərid Əhmədov,2,2,,title_only_greenland_generic_or_numbers
1oNmbCwkLXI,Greenland,"Course: Environmental Engineering
Video # 11
Water management",2019-08-09T01:01:11Z,115,23,,0,UC1UUfycPLsP1OpU2iV5yTsw,AL Ramos-Jacques,14,29,,title_only_greenland_generic_or_numbers
z2xfSSWNkyg,Greenland,"Shot with the Mavic Pro in the Ice Fjord and Disko Bay, Ilulissat, Greenland.",2019-08-11T02:45:14Z,121,74,,0,UCGf-_eENiPkgxkt_jzgBaLg,Brad Girard,817,56,,title_only_greenland_generic_or_numbers
WgGb76Uq7Ew,Greenland,,2019-08-12T13:01:20Z,143,112,,1,UCnoVGF3fENJ_eDPmfaNxDUw,amyoswalt18,2,13,,title_only_greenland_generic_or_numbers
5s8Vj_bcxG8,Greenland,,2019-08-13T08:22:06Z,95,3,,0,UCTR6zDOTNG7E95Q1mQzqJlA,ZISAKUDUTSE TV,24,323,,title_only_greenland_generic_or_numbers
Y3lQwtqlaDg,Greenland,,2019-08-13T08:32:52Z,2,5,,0,UCTR6zDOTNG7E95Q1mQzqJlA,ZISAKUDUTSE TV,24,323,,title_only_greenland_generic_or_numbers
ZKGIYrGnmlc,Greenland,"Awesome Greenland it's nature,sceneries etc
#Greenland #Greenlandnature #Greenlandsceneries #Greenlandfacts #aboutGreenland 
Watch my last video https://youtu.be/1QQhxeGIqPw",2019-08-13T11:33:31Z,174,48,,0,UCfxGbxjKD_GhoWjgvBx5mkg,MS MEDIA,43,17,,title_only_greenland_generic_or_numbers
tWw5HMetc7M,Greenland,07 2019,2019-08-15T19:13:48Z,433,273,,0,UCj-Mo5qwVJrM469k6jwmOHg,Cesar Arias,4,1,,title_only_greenland_generic_or_numbers
v8SAR-1VJ4Y,Greenland July 21 2019,"Flying home from Europe (yes, I bought Carbon Credits) we passed over southern Greenland, and I was lucky enough to be able to video the landscape. About 2/3 of the way through the video I show the airline map with our current position. Lots of bare ground. Holding comments for review due to the nature of this video and the types of comments I have seen on similar videos. Don't waste your time on silly comments.",2019-08-17T01:49:39Z,627,35,,0,UCzSHrNbR3XsyETBCarG6u3g,David Butcher,179,78,,title_only_greenland_date
VD6gdunFKMk,Greenland,,2019-08-18T15:56:28Z,22,9,,0,UCDlTLoqHUmixOd3nFPwnGYg,Becky Bunzy,191,102,,title_only_greenland_generic_or_numbers
Ur6B3cIcx9s,Greenland 2019,Kayaking Trip East Greenland August 2019,2019-08-21T18:18:50Z,48,103,,0,UC4THEo2Sx4Q0Vi0wAebmPdg,Andreas Schmalhofer,0,2,,title_only_greenland_generic_or_numbers
P3B6deVqE_U,Greenland,Just stunning today. Time lapse of our flight over the southern tip.,2019-08-26T22:16:30Z,37,39,,0,UCN72QdB9kLi7dFc_GyfwTcg,Unitedflyier,3,11,,title_only_greenland_generic_or_numbers
4SBdrLXWuk4,Greenland,"This week we discuss Little Norway, Arctic diplomacy, and Project Iceworm.

We also discuss Thule Air Base, Henrick Kauffman, and Operation Chrome Dome.

Become a patron on Patreon: https://patreon.com/letsknowthings

Patrons receive a bonus episode of the show each month!

For more information about this podcast and to view the show notes and transcript, visit https://letsknowthings.com

And if you're enjoying the show, please consider leaving a review wherever you get your podcasts—they help more than you might think :)",2019-09-03T16:34:38Z,1980,189,,0,UCULPJAwH3s2F3ULsY0gL3nw,Colin Wright,10100,1561,US,title_only_greenland_generic_or_numbers
0MvhiPmeiFY,Greenland,"kota dimana saat ini musim 24jam tidak ada malam...
24 jam matahari menyelimutinya kota ini..
gunung es mulai mencair. ..",2019-09-05T18:28:36Z,8,27,,0,UCDl7S8VyvbnsWNt8M5N-Ygw,Felicia official ,724,376,,title_only_greenland_generic_or_numbers
rrINCd9ESas,Greenland 1 Greenland,"Symphony Orchestra and Synthesizers.
Pieces inspired in landscapes and medieval battles.
Composer: Miguel Jaubert

Orquesta sinfónica y sintetizadores.
Piezas inspiradas en paisajes y batallas medievales.
Compositor:Miguel Jaubert",2019-09-08T21:11:34Z,295,37,,3,UC2z7cLtu1pb-2R7h7zO-EuA,Miguel Jaubert,675,39,,title_only_greenland_generic_or_numbers
EN4z0B756WI,Greenland,"Байдарочный поход в Гренландии
авг 2019",2019-09-10T12:15:54Z,197,651,,0,UCuC93TShj8dG3wkvjrlM8Mw,Alexander Patsenker,72,13,,title_only_greenland_generic_or_numbers
YdyhHEwQxfQ,Greenland,"Stefany taking in Glacier views in Greenland.

www.dmctraveltailor.com
You can contact us at: info@dmctraveltailor.com and or stefany@largaytravel.com.",2019-09-14T00:11:37Z,121,9,,0,UCQ25hy7SYgFKS_IdoC3lKuA,DMC Travel Tailor,80,130,,title_only_greenland_generic_or_numbers
AjjWZDVdzEs,Greenland 1972,"Trip I did with Sea Services Shipping on the Lady of Essex. Contracted by Total oil company. purpose was how to do deal with icebergs if you did offshore drilling. great trip, lots of fun.",2019-09-21T13:41:23Z,288,114,,0,UCmWwLrcq0riD0jS9d4o61-g,Geoff Delivett Boomer Wanderer,185,229,GB,title_only_greenland_generic_or_numbers
KWkv6ib0rDU,Greenland,"Provided to YouTube by DistroKid

Greenland · Jennifer Athena Galatis

Gaia (Original Motion Picture Soundtrack)

℗ Immersion

Released on: 2019-09-26

Auto-generated by YouTube.",2019-09-28T17:26:12Z,539,56,,0,UCLCZwwq5sk2sKZnZqr7PrEw,Jennifer Athena Galatis - Topic,639,842,,title_only_greenland_generic_or_numbers
hulx64NrTmY,Greenland 2019,,2019-09-29T09:23:56Z,816,153,,0,UC7ELX9dg5FyD5i8L7v54kiA,Haim Granot,9,9,,title_only_greenland_generic_or_numbers
3kWrS-uqm5Q,Greenland,,2019-10-05T23:10:58Z,295,3,,0,UCHIcbhyX1pwJzPLC6xRyKfQ,Ej Gamo,0,1,,title_only_greenland_generic_or_numbers
dgjOCTRaEg0,Greenland,,2019-10-07T03:40:08Z,29,3,,0,UCjZPuXrVGmUpOCJtUt-Pwvw,Maurice Sciveres,0,12,,title_only_greenland_generic_or_numbers
cb-wIaQsqiw,Greenland 2018,"June 2018 Steven and I hiked the Arctic Circle Trail, Greenland's most popular backpacking trail, around 100 miles of spectacular scenery including tons of lakes and fjords, waterfalls, towering snow-covered mountains, and sweeping views!  

Difficulties encountered: 
Arranging for trailhead transportation (if you wish to skip the 10-mile pre-trail road portion between Kangerlussuaq and Kellyville), being prepared for severe weather conditions (including heavy rain, intense cold, strong winds, white-out fog, and snowstorms even in the summer), dealing with the nonstop assault of mosquitoes, avoiding unsafe encounters with wildlife, hiking through challenging bogs and wetlands (wet feet for days), and safely carrying out river crossings (which also means not crossing when river levels are too high). 

More info about the hike can be found here:
http://www.panamintcity.com/greenland/arcticcircletrail.html


Song: Cyrus Reynolds - Oh Brother",2019-10-08T02:18:55Z,263,388,,4,UCncXYCSR1BAShTPWB_weQdA,Josh Leard,45,17,,title_only_greenland_generic_or_numbers
xTI8RTkyafc,The Greenland,,2019-10-08T17:37:46Z,68,4,,0,UCqwKO0JpD2DoDQ6svWtnZzg,Ladoo Kids tv sandeep,2,4,,title_only_greenland_generic_or_numbers
YpsK7OJU7Mg,Greenland,Newland,2019-10-10T22:06:30Z,12,17,,1,UCTKsYpP9HrTScGNfVbL5hXw,Carmie Ancheta,2,1,,title_only_greenland_generic_or_numbers
VckWZgnWnlk,Greenland,Iceberg tour Ilulissat 2019,2019-10-15T10:00:25Z,51,19,,0,UCDNk-E3aSNbPJtHIaC4gCPg,LynLarsen,4,4,,title_only_greenland_generic_or_numbers
CahfcdxTb3Q,THE GREENLAND,,2019-10-19T04:41:00Z,108,10,,0,UCsWBY9S5h8KvWl8bFMW_sBQ,RAZ ,3,6,,title_only_greenland_generic_or_numbers
-g6WeHoUhXw,Greenland,sailing around Greenland,2019-10-20T10:59:25Z,468,676,,2,UC8Fe7fZx1L99-A9yl5wGpLA,snehurkayacht,837,65,CZ,title_only_greenland_generic_or_numbers
VFUP3hqGqtw,@GREENLAND 🤤🤤😍,,2019-10-21T23:57:36Z,37,20,,1,UCztKqbIOUuI2MS4MWJF6hxQ,Jasmine Zamora,112,20,,title_only_greenland_generic_or_numbers
hjpGScghmLQ,Greenland,"Mrkneme pod víko hry
Greenland
Více obsahu hledej na FB a Instagramu stránce POD VÍKEM https://www.facebook.com/pod.vikem
https://www.instagram.com/pod.vikem/",2019-10-28T06:55:02Z,735,626,,0,UC1LjpsZzxqowLNwX1kUW11g,POD VÍKEM,3670,1569,CZ,title_only_greenland_generic_or_numbers
dMeG5XHuxY0,Greenland,,2019-10-30T20:00:20Z,170,19,,0,UC7zMPSxJNi8pUPn6RRSVgPw,Anton Tetzi 89,29,56,IS,title_only_greenland_generic_or_numbers
tw7AiBHmjGs,GREENLAND!,,2019-11-01T01:13:32Z,757,6,,0,UC4aBnnaefA4eLqZbDyLd3fQ,Reapster Guy09,96,98,,title_only_greenland_generic_or_numbers
88C19_WPSHw,Greenland's,My phone photography,2019-11-01T12:26:00Z,70,26,,0,UCEVG_ewotuGeCULuaXjIz5w,Svphotographykmm,34,27,,title_only_greenland_generic_or_numbers
Raf0BarPUeM,Greenland!!,Greenland!!!,2019-11-02T23:37:38Z,11,8,,0,UCRYhbugdyYJfZTSJfuEr9DA,Laura LaPlante,11,163,,title_only_greenland_generic_or_numbers
GOrRgjYb0qM,7 Greenland,,2019-11-05T17:57:21Z,398,3,,0,UCpaHbqQXZUb0GDRCDtXNhFQ,Mich95 (BigRatsLabel),46,653,PL,title_only_greenland_generic_or_numbers
eB5HXjDJB6M,Greenland,Like share and subscribe,2019-11-12T14:56:51Z,18,127,,1,UCChcKjo7Fm_EId7bOx4VpiQ,Usman Vlogs,552,9,US,title_only_greenland_generic_or_numbers
Dpo7epcINls,Greenland,,2019-11-14T18:53:42Z,61,34,,0,UCqhsiwKT8E3dkrPcohEZunQ,Melih Yaren oto garaj ,479,633,,title_only_greenland_generic_or_numbers
5GpkT0gs_5k,Greenland,DIRECTED BY SIDY DIALLO,2019-11-24T02:56:56Z,211,43,,0,UCuzu6_EG9v9dm2cVThGrkBQ,Sidy Diallo,144,28,,title_only_greenland_generic_or_numbers
5G78VVMF1mo,Greenland,The video was taken in East Greenland in September 2018.,2019-12-02T01:08:31Z,264,77,,0,UCwemaRmSHk1TXCHVHxvHUPA,DG,15,10,,title_only_greenland_generic_or_numbers
IqmH7bBTOEc,Greenland,,2019-12-04T00:34:18Z,12,19,,,UCnQnXW2RFRijJdFnQoo4qnQ,Big4 “Yuri” Chungus,8,15,,title_only_greenland_generic_or_numbers
_0GhnwEAlhk,Greenland August 2019,"Nuuk, Qaqortoq, Nanortalik
Princess Cruise, Canada, Greenland, 
No-fly, Brooklyn to Brooklyn",2019-12-05T15:56:42Z,225,73,,0,UCS0W8UY7bPllot0MsoabLKQ,Kathleen Mariposa,1,52,,title_only_greenland_month_year
M_y0cSzYx84,Greenland 🏔,,2019-12-11T04:07:32Z,19,12,,0,UC7V2lsNwaE0lixsKT53DSrA,Beerjung Nona,0,7,,title_only_greenland_generic_or_numbers
p1zabC1lWfo,Greenland🌱,,2019-12-14T19:43:31Z,775,7,,,UC2HywpnnFGiyctteymcSOhQ,Lilly _Rodz,2,3,,title_only_greenland_generic_or_numbers
g9Pv0SmWdno,Greenland 2019,,2020-01-07T20:34:19Z,275,26,,0,UCSw1G9uQHqZxBak6ZchogfA,Jan Kubálek,21,2,,title_only_greenland_generic_or_numbers
9h7UDIYsnLM,Greenland,"Provided to YouTube by Redeye Worldwide

Greenland · The Kingsbury Manx

The Fast Rise and Fall of the South

℗ 2005 Yep Roc Records

Released on: 2005-09-20

Main  Artist: The Kingsbury Manx
Music  Publisher: Oro-Roja/Dr. Shambles Music/Flayleejay/Conover Beacon ASCAP
Composer: The Kingsbury Manx

Auto-generated by YouTube.",2020-01-10T01:24:37Z,178,1299,,0,UCTQ_MHNJHzMjNIH0wUDpoOg,The Kingsbury Manx - Topic,134,97,,title_only_greenland_generic_or_numbers
